img_id,label,conf_level,run_date,api
1,"jinrikisha,ricksha,rickshaw ",0.10107,0000-00-00,inception
1,"ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin ",0.04291,0000-00-00,inception
1,"streetcar,tram,tramcar,trolley,trolley car ",0.04202,0000-00-00,inception
1,"bookshop,bookstore,bookstall ",0.03124,0000-00-00,inception
1,plastic bag ,0.02672,0000-00-00,inception
2,"traffic light,traffic signal,stoplight ",0.73114,0000-00-00,inception
2,crutch ,0.03286,0000-00-00,inception
2,parking meter ,0.02102,0000-00-00,inception
2,"motor scooter,scooter ",0.01622,0000-00-00,inception
2,"unicycle,monocycle ",0.01408,0000-00-00,inception
3,desk ,0.31538,0000-00-00,inception
3,desktop computer ,0.28016,0000-00-00,inception
3,"screen,CRT screen ",0.15946,0000-00-00,inception
3,"mouse,computer mouse ",0.08233,0000-00-00,inception
3,monitor ,0.07722,0000-00-00,inception
4,mosquito net ,0.51507,0000-00-00,inception
4,"studio couch,day bed ",0.25091,0000-00-00,inception
4,hourglass ,0.0291,0000-00-00,inception
4,pillow ,0.02352,0000-00-00,inception
4,four-poster ,0.01488,0000-00-00,inception
5,"microwave,microwave oven ",0.36008,0000-00-00,inception
5,desk ,0.22651,0000-00-00,inception
5,"file,file cabinet,filing cabinet ",0.07988,0000-00-00,inception
5,"dining table,board ",0.03069,0000-00-00,inception
5,entertainment center ,0.01655,0000-00-00,inception
6,nipple ,0.09491,0000-00-00,inception
6,"dining table,board ",0.09417,0000-00-00,inception
6,hair spray ,0.02433,0000-00-00,inception
6,bottlecap ,0.02377,0000-00-00,inception
6,beaker ,0.0225,0000-00-00,inception
7,desk ,0.63928,0000-00-00,inception
7,desktop computer ,0.14919,0000-00-00,inception
7,monitor ,0.02842,0000-00-00,inception
7,"screen,CRT screen ",0.01943,0000-00-00,inception
7,"file,file cabinet,filing cabinet ",0.018,0000-00-00,inception
8,desk ,0.30794,0000-00-00,inception
8,"file,file cabinet,filing cabinet ",0.17762,0000-00-00,inception
8,printer ,0.1747,0000-00-00,inception
8,desktop computer ,0.05968,0000-00-00,inception
8,"microwave,microwave oven ",0.02292,0000-00-00,inception
9,library ,0.22411,0000-00-00,inception
9,"home theater,home theatre ",0.09968,0000-00-00,inception
9,"file,file cabinet,filing cabinet ",0.07508,0000-00-00,inception
9,bookcase ,0.06143,0000-00-00,inception
9,"microwave,microwave oven ",0.04936,0000-00-00,inception
10,desk ,0.19396,0000-00-00,inception
10,"file,file cabinet,filing cabinet ",0.15324,0000-00-00,inception
10,bookcase ,0.12827,0000-00-00,inception
10,library ,0.1083,0000-00-00,inception
10,desktop computer ,0.04948,0000-00-00,inception
11,desk ,0.87701,0000-00-00,inception
11,desktop computer ,0.03611,0000-00-00,inception
11,"file,file cabinet,filing cabinet ",0.02573,0000-00-00,inception
11,monitor ,0.01311,0000-00-00,inception
11,"screen,CRT screen ",0.01309,0000-00-00,inception
12,desk ,0.48831,0000-00-00,inception
12,desktop computer ,0.22338,0000-00-00,inception
12,monitor ,0.07279,0000-00-00,inception
12,"screen,CRT screen ",0.05482,0000-00-00,inception
12,"mouse,computer mouse ",0.03806,0000-00-00,inception
13,desk ,0.75547,0000-00-00,inception
13,"mouse,computer mouse ",0.05331,0000-00-00,inception
13,monitor ,0.01921,0000-00-00,inception
13,"computer keyboard,keypad ",0.01752,0000-00-00,inception
13,desktop computer ,0.01321,0000-00-00,inception
14,desk ,0.59314,0000-00-00,inception
14,desktop computer ,0.1975,0000-00-00,inception
14,"mouse,computer mouse ",0.1088,0000-00-00,inception
14,"computer keyboard,keypad ",0.03905,0000-00-00,inception
14,"screen,CRT screen ",0.01921,0000-00-00,inception
15,"mouse,computer mouse ",0.52361,0000-00-00,inception
15,desktop computer ,0.16606,0000-00-00,inception
15,"computer keyboard,keypad ",0.1251,0000-00-00,inception
15,desk ,0.0641,0000-00-00,inception
15,"screen,CRT screen ",0.05492,0000-00-00,inception
16,parking meter ,0.53715,0000-00-00,inception
16,crutch ,0.20654,0000-00-00,inception
16,shopping cart ,0.02378,0000-00-00,inception
16,"traffic light,traffic signal,stoplight ",0.0203,0000-00-00,inception
16,"ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin ",0.01328,0000-00-00,inception
17,photocopier ,0.599,0000-00-00,inception
17,printer ,0.16575,0000-00-00,inception
17,desk ,0.11373,0000-00-00,inception
17,desktop computer ,0.01525,0000-00-00,inception
17,sewing machine ,0.01442,0000-00-00,inception
18,desk ,0.64573,0000-00-00,inception
18,"file,file cabinet,filing cabinet ",0.14445,0000-00-00,inception
18,entertainment center ,0.0385,0000-00-00,inception
18,desktop computer ,0.03734,0000-00-00,inception
18,monitor ,0.021,0000-00-00,inception
19,desktop computer ,0.51859,0000-00-00,inception
19,printer ,0.18941,0000-00-00,inception
19,desk ,0.07839,0000-00-00,inception
19,"mouse,computer mouse ",0.03668,0000-00-00,inception
19,"screen,CRT screen ",0.03241,0000-00-00,inception
20,desk ,0.41014,0000-00-00,inception
20,desktop computer ,0.16083,0000-00-00,inception
20,library ,0.106,0000-00-00,inception
20,"file,file cabinet,filing cabinet ",0.09923,0000-00-00,inception
20,"mouse,computer mouse ",0.04639,0000-00-00,inception
21,potter's wheel ,0.0933,0000-00-00,inception
21,photocopier ,0.07441,0000-00-00,inception
21,"solar dish,solar collector,solar furnace ",0.06476,0000-00-00,inception
21,"plane,carpenter's plane,woodworking plane ",0.05422,0000-00-00,inception
21,jigsaw puzzle ,0.04714,0000-00-00,inception
22,"streetcar,tram,tramcar,trolley,trolley car ",0.8459,0000-00-00,inception
22,"trolleybus,trolley coach,trackless trolley ",0.02679,0000-00-00,inception
22,minibus ,0.01743,0000-00-00,inception
22,"passenger car,coach,carriage ",0.00304,0000-00-00,inception
22,water jug ,0.00279,0000-00-00,inception
23,minivan ,0.8589,0000-00-00,inception
23,"cab,hack,taxi,taxicab ",0.0475,0000-00-00,inception
23,"beach wagon,station wagon,wagon,estate car,beach waggon,station waggon,waggon ",0.00955,0000-00-00,inception
23,"traffic light,traffic signal,stoplight ",0.00931,0000-00-00,inception
23,"police van,police wagon,paddy wagon,patrol wagon,wagon,black Maria ",0.00458,0000-00-00,inception
24,"cab,hack,taxi,taxicab ",0.21083,0000-00-00,inception
24,"tow truck,tow car,wrecker ",0.03038,0000-00-00,inception
24,"ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin ",0.02997,0000-00-00,inception
24,"jinrikisha,ricksha,rickshaw ",0.02322,0000-00-00,inception
24,"horse cart,horse-cart ",0.0192,0000-00-00,inception
25,"patio,terrace ",0.21257,0000-00-00,inception
25,umbrella ,0.0905,0000-00-00,inception
25,"restaurant,eating house,eating place,eatery ",0.02399,0000-00-00,inception
25,"malamute,malemute,Alaskan malamute ",0.01763,0000-00-00,inception
25,"sandbar,sand bar ",0.01612,0000-00-00,inception
26,"cab,hack,taxi,taxicab ",0.51517,0000-00-00,inception
26,obelisk ,0.10694,0000-00-00,inception
26,triumphal arch ,0.07715,0000-00-00,inception
26,"limousine,limo ",0.05008,0000-00-00,inception
26,"traffic light,traffic signal,stoplight ",0.03503,0000-00-00,inception
27,"dining table,board ",0.86917,0000-00-00,inception
27,folding chair ,0.0453,0000-00-00,inception
27,desk ,0.00843,0000-00-00,inception
27,sliding door ,0.00468,0000-00-00,inception
27,shoji ,0.00254,0000-00-00,inception
28,"dining table,board ",0.44867,0000-00-00,inception
28,"restaurant,eating house,eating place,eatery ",0.2057,0000-00-00,inception
28,"china cabinet,china closet ",0.04168,0000-00-00,inception
28,entertainment center ,0.0415,0000-00-00,inception
28,"fire screen,fireguard ",0.01976,0000-00-00,inception
29,"sandbar,sand bar ",0.54777,0000-00-00,inception
29,"seashore,coast,seacoast,sea-coast ",0.26544,0000-00-00,inception
29,"breakwater,groin,groyne,mole,bulwark,seawall,jetty ",0.01655,0000-00-00,inception
29,"swimming trunks,bathing trunks ",0.01404,0000-00-00,inception
29,"lakeside,lakeshore ",0.01114,0000-00-00,inception
30,entertainment center ,0.56818,0000-00-00,inception
30,"television,television system ",0.2581,0000-00-00,inception
30,"wardrobe,closet,press ",0.01652,0000-00-00,inception
30,"screen,CRT screen ",0.00631,0000-00-00,inception
30,"china cabinet,china closet ",0.00342,0000-00-00,inception
31,"microwave,microwave oven ",0.58932,0000-00-00,inception
31,"dishwasher,dish washer,dishwashing machine ",0.28237,0000-00-00,inception
31,toaster ,0.04478,0000-00-00,inception
31,stove ,0.01039,0000-00-00,inception
31,plate rack ,0.00919,0000-00-00,inception
32,"microwave,microwave oven ",0.43215,0000-00-00,inception
32,"dishwasher,dish washer,dishwashing machine ",0.22887,0000-00-00,inception
32,plate rack ,0.10563,0000-00-00,inception
32,"medicine chest,medicine cabinet ",0.0432,0000-00-00,inception
32,stove ,0.04126,0000-00-00,inception
33,window shade ,0.38785,0000-00-00,inception
33,"home theater,home theatre ",0.12293,0000-00-00,inception
33,sliding door ,0.09682,0000-00-00,inception
33,"studio couch,day bed ",0.09164,0000-00-00,inception
33,shoji ,0.03049,0000-00-00,inception
34,desk ,0.30726,0000-00-00,inception
34,"dining table,board ",0.18498,0000-00-00,inception
34,"file,file cabinet,filing cabinet ",0.05723,0000-00-00,inception
34,folding chair ,0.04686,0000-00-00,inception
34,sewing machine ,0.03413,0000-00-00,inception
35,desk ,0.71633,0000-00-00,inception
35,"file,file cabinet,filing cabinet ",0.066,0000-00-00,inception
35,sewing machine ,0.01908,0000-00-00,inception
35,desktop computer ,0.01456,0000-00-00,inception
35,"wardrobe,closet,press ",0.01404,0000-00-00,inception
36,"microwave,microwave oven ",0.56376,0000-00-00,inception
36,plate rack ,0.16216,0000-00-00,inception
36,"china cabinet,china closet ",0.11295,0000-00-00,inception
36,"dining table,board ",0.01852,0000-00-00,inception
36,entertainment center ,0.00956,0000-00-00,inception
37,"studio couch,day bed ",0.51437,0000-00-00,inception
37,"quilt,comforter,comfort,puff ",0.14084,0000-00-00,inception
37,wall clock ,0.08739,0000-00-00,inception
37,pillow ,0.03283,0000-00-00,inception
37,four-poster ,0.02688,0000-00-00,inception
38,"patio,terrace ",0.64805,0000-00-00,inception
38,"restaurant,eating house,eating place,eatery ",0.07594,0000-00-00,inception
38,altar ,0.02849,0000-00-00,inception
38,"tub,vat ",0.02185,0000-00-00,inception
38,fountain ,0.00998,0000-00-00,inception
39,"restaurant,eating house,eating place,eatery ",0.44098,0000-00-00,inception
39,"grand piano,grand ",0.08404,0000-00-00,inception
39,"dining table,board ",0.08404,0000-00-00,inception
39,sliding door ,0.03443,0000-00-00,inception
39,four-poster ,0.02643,0000-00-00,inception
40,"quilt,comforter,comfort,puff ",0.38129,0000-00-00,inception
40,bookcase ,0.05551,0000-00-00,inception
40,mosquito net ,0.04411,0000-00-00,inception
40,"handkerchief,hankie,hanky,hankey ",0.04142,0000-00-00,inception
40,"hoopskirt,crinoline ",0.02241,0000-00-00,inception
41,"microwave,microwave oven ",0.97481,0000-00-00,inception
41,stove ,0.00278,0000-00-00,inception
41,space heater ,0.00114,0000-00-00,inception
41,"fire screen,fireguard ",0.0011,0000-00-00,inception
41,toaster ,0.00068,0000-00-00,inception
42,desk ,0.20571,0000-00-00,inception
42,"dining table,board ",0.17294,0000-00-00,inception
42,"restaurant,eating house,eating place,eatery ",0.06612,0000-00-00,inception
42,monitor ,0.03088,0000-00-00,inception
42,desktop computer ,0.02712,0000-00-00,inception
43,"television,television system ",0.19243,0000-00-00,inception
43,"screen,CRT screen ",0.16507,0000-00-00,inception
43,monitor ,0.11077,0000-00-00,inception
43,desk ,0.04436,0000-00-00,inception
43,"microwave,microwave oven ",0.03419,0000-00-00,inception
44,library ,0.25802,0000-00-00,inception
44,photocopier ,0.10707,0000-00-00,inception
44,"restaurant,eating house,eating place,eatery ",0.09317,0000-00-00,inception
44,"file,file cabinet,filing cabinet ",0.0339,0000-00-00,inception
44,"dining table,board ",0.02993,0000-00-00,inception
45,"police van,police wagon,paddy wagon,patrol wagon,wagon,black Maria ",0.46471,0000-00-00,inception
45,minibus ,0.15078,0000-00-00,inception
45,"cab,hack,taxi,taxicab ",0.05375,0000-00-00,inception
45,minivan ,0.04916,0000-00-00,inception
45,"trolleybus,trolley coach,trackless trolley ",0.02628,0000-00-00,inception
46,"cab,hack,taxi,taxicab ",0.78754,0000-00-00,inception
46,"cinema,movie theater,movie theatre,movie house,picture palace ",0.05447,0000-00-00,inception
46,"traffic light,traffic signal,stoplight ",0.01579,0000-00-00,inception
46,"limousine,limo ",0.01479,0000-00-00,inception
46,minivan ,0.01313,0000-00-00,inception
47,"streetcar,tram,tramcar,trolley,trolley car ",0.30115,0000-00-00,inception
47,"traffic light,traffic signal,stoplight ",0.28658,0000-00-00,inception
47,"cab,hack,taxi,taxicab ",0.22667,0000-00-00,inception
47,"trolleybus,trolley coach,trackless trolley ",0.01123,0000-00-00,inception
47,umbrella ,0.01097,0000-00-00,inception
48,"cab,hack,taxi,taxicab ",0.99114,0000-00-00,inception
48,minibus ,0.00064,0000-00-00,inception
48,"limousine,limo ",0.00051,0000-00-00,inception
48,"traffic light,traffic signal,stoplight ",0.0005,0000-00-00,inception
48,"streetcar,tram,tramcar,trolley,trolley car ",0.00043,0000-00-00,inception
49,"cab,hack,taxi,taxicab ",0.76995,0000-00-00,inception
49,"streetcar,tram,tramcar,trolley,trolley car ",0.03548,0000-00-00,inception
49,obelisk ,0.01977,0000-00-00,inception
49,"bell cote,bell cot ",0.01694,0000-00-00,inception
49,parking meter ,0.01258,0000-00-00,inception
50,desk ,0.86023,0000-00-00,inception
50,"rubber eraser,rubber,pencil eraser ",0.01725,0000-00-00,inception
50,"ballpoint,ballpoint pen,ballpen,Biro ",0.016,0000-00-00,inception
50,"rule,ruler ",0.01335,0000-00-00,inception
50,"file,file cabinet,filing cabinet ",0.01019,0000-00-00,inception
209,shoji ,0.67853,0000-00-00,inception
209,sliding door ,0.21953,0000-00-00,inception
209,"wardrobe,closet,press ",0.03012,0000-00-00,inception
209,"prison,prison house ",0.00738,0000-00-00,inception
209,"china cabinet,china closet ",0.00189,0000-00-00,inception
231,minivan ,0.24816,0000-00-00,inception
231,"flagpole,flagstaff ",0.13907,0000-00-00,inception
231,broom ,0.05463,0000-00-00,inception
231,"picket fence,paling ",0.02638,0000-00-00,inception
231,pole ,0.02496,0000-00-00,inception
247,four-poster ,0.18805,0000-00-00,inception
247,"dining table,board ",0.10944,0000-00-00,inception
247,"patio,terrace ",0.06598,0000-00-00,inception
247,"home theater,home theatre ",0.04739,0000-00-00,inception
247,"china cabinet,china closet ",0.04384,0000-00-00,inception
1988,"quilt,comforter,comfort,puff ",0.61074,0000-00-00,inception
1988,"studio couch,day bed ",0.15064,0000-00-00,inception
1988,table lamp ,0.07774,0000-00-00,inception
1988,four-poster ,0.03836,0000-00-00,inception
1988,"lampshade,lamp shade ",0.0074,0000-00-00,inception
1990,"wardrobe,closet,press ",0.91393,0000-00-00,inception
1990,desk ,0.01512,0000-00-00,inception
1990,"chiffonier,commode ",0.0115,0000-00-00,inception
1990,"file,file cabinet,filing cabinet ",0.00867,0000-00-00,inception
1990,"china cabinet,china closet ",0.00539,0000-00-00,inception
2194,"microwave,microwave oven ",0.36766,0000-00-00,inception
2194,plate rack ,0.08834,0000-00-00,inception
2194,"wardrobe,closet,press ",0.06714,0000-00-00,inception
2194,"china cabinet,china closet ",0.05776,0000-00-00,inception
2194,"dishwasher,dish washer,dishwashing machine ",0.03269,0000-00-00,inception
2579,castle ,0.68505,0000-00-00,inception
2579,monastery ,0.17853,0000-00-00,inception
2579,palace ,0.03951,0000-00-00,inception
2579,"church,church building ",0.00712,0000-00-00,inception
2579,"valley,vale ",0.00415,0000-00-00,inception
61512,sorrel ,0.22836,0000-00-00,inception
61512,"Arabian camel,dromedary,Camelus dromedarius ",0.04588,0000-00-00,inception
61512,"worm fence,snake fence,snake-rail fence,Virginia fence ",0.03871,0000-00-00,inception
61512,"ram,tup ",0.02592,0000-00-00,inception
61512,"water buffalo,water ox,Asiatic buffalo,Bubalus bubalis ",0.021,0000-00-00,inception
61513,moped ,0.13982,0000-00-00,inception
61513,"motor scooter,scooter ",0.09389,0000-00-00,inception
61513,"Arabian camel,dromedary,Camelus dromedarius ",0.08453,0000-00-00,inception
61513,sorrel ,0.07238,0000-00-00,inception
61513,"horse cart,horse-cart ",0.04025,0000-00-00,inception
61514,"traffic light,traffic signal,stoplight ",0.88527,0000-00-00,inception
61514,street sign ,0.02329,0000-00-00,inception
61514,analog clock ,0.0008,0000-00-00,inception
61514,"cab,hack,taxi,taxicab ",0.00066,0000-00-00,inception
61514,pole ,0.00059,0000-00-00,inception
61515,"racket,racquet ",0.28513,0000-00-00,inception
61515,ping-pong ball ,0.105,0000-00-00,inception
61515,baseball ,0.04918,0000-00-00,inception
61515,"unicycle,monocycle ",0.02428,0000-00-00,inception
61515,"ballplayer,baseball player ",0.02149,0000-00-00,inception
61517,"drilling platform,offshore rig ",0.33202,0000-00-00,inception
61517,"pirate,pirate ship ",0.17388,0000-00-00,inception
61517,"lakeside,lakeshore ",0.15035,0000-00-00,inception
61517,"sandbar,sand bar ",0.03419,0000-00-00,inception
61517,lifeboat ,0.02503,0000-00-00,inception
61518,"brown bear,bruin,Ursus arctos ",0.94744,0000-00-00,inception
61518,"hyena,hyaena ",0.00128,0000-00-00,inception
61518,"lion,king of beasts,Panthera leo ",0.00083,0000-00-00,inception
61518,bison ,0.00074,0000-00-00,inception
61518,"Arabian camel,dromedary,Camelus dromedarius ",0.00073,0000-00-00,inception
61519,soccer ball ,0.85353,0000-00-00,inception
61519,rugby ball ,0.06817,0000-00-00,inception
61519,volleyball ,0.00622,0000-00-00,inception
61519,knee pad ,0.00313,0000-00-00,inception
61519,football helmet ,0.00285,0000-00-00,inception
61520,"cornet,horn,trumpet,trump ",0.083,0000-00-00,inception
61520,tile roof ,0.06007,0000-00-00,inception
61520,"patio,terrace ",0.05095,0000-00-00,inception
61520,"ice lolly,lolly,lollipop,popsicle ",0.03643,0000-00-00,inception
61520,"groom,bridegroom ",0.03012,0000-00-00,inception
61521,"solar dish,solar collector,solar furnace ",0.10538,0000-00-00,inception
61521,window screen ,0.0485,0000-00-00,inception
61521,trimaran ,0.02971,0000-00-00,inception
61521,"greenhouse,nursery,glasshouse ",0.02947,0000-00-00,inception
61521,dome ,0.01762,0000-00-00,inception
61522,"mouse,computer mouse ",0.59115,0000-00-00,inception
61522,"loupe,jeweler's loupe ",0.01957,0000-00-00,inception
61522,stethoscope ,0.01822,0000-00-00,inception
61522,joystick ,0.00835,0000-00-00,inception
61522,"lens cap,lens cover ",0.00719,0000-00-00,inception
61523,"Indian elephant,Elephas maximus ",0.95514,0000-00-00,inception
61523,tusker ,0.02905,0000-00-00,inception
61523,"African elephant,Loxodonta africana ",0.00511,0000-00-00,inception
61523,"Arabian camel,dromedary,Camelus dromedarius ",0.00074,0000-00-00,inception
61523,abaya ,0.0003,0000-00-00,inception
61524,"ballplayer,baseball player ",0.93482,0000-00-00,inception
61524,baseball ,0.02763,0000-00-00,inception
61524,torch ,0.00178,0000-00-00,inception
61524,scoreboard ,0.00125,0000-00-00,inception
61524,"racket,racquet ",0.00072,0000-00-00,inception
61525,"racket,racquet ",0.7729,0000-00-00,inception
61525,tennis ball ,0.03818,0000-00-00,inception
