img_id,label,conf_level,run_date,api
1,street,0.549834,0000-00-00,ibm
1,city,0.310026,0000-00-00,ibm
1,crowd,0.28905,0000-00-00,ibm
1,people,0.268941,0000-00-00,ibm
2,building,0.268941,0000-00-00,ibm
3,default,0,0000-00-00,ibm
4,default,0,0000-00-00,ibm
5,default,0,0000-00-00,ibm
6,food,0.817574,0000-00-00,ibm
6,restaurant,0.310026,0000-00-00,ibm
7,default,0,0000-00-00,ibm
8,desk,0.268941,0000-00-00,ibm
9,house,0.354344,0000-00-00,ibm
10,default,0,0000-00-00,ibm
11,default,0,0000-00-00,ibm
12,desk,0.785835,0000-00-00,ibm
12,machine,0.475021,0000-00-00,ibm
12,computer,0.475021,0000-00-00,ibm
12,laptop,0.310026,0000-00-00,ibm
13,desk,0.5,0000-00-00,ibm
13,laptop,0.268941,0000-00-00,ibm
14,desk,0.331812,0000-00-00,ibm
15,mac,0.924142,0000-00-00,ibm
15,laptop,0.425557,0000-00-00,ibm
15,apple,0.401312,0000-00-00,ibm
15,asus,0.28905,0000-00-00,ibm
16,street,0.425557,0000-00-00,ibm
17,apartment,0.331812,0000-00-00,ibm
18,default,0,0000-00-00,ibm
19,default,0,0000-00-00,ibm
20,default,0,0000-00-00,ibm
21,person,0.310026,0000-00-00,ibm
22,tram,0.377541,0000-00-00,ibm
22,bus,0.377541,0000-00-00,ibm
23,car,0.785835,0000-00-00,ibm
23,street,0.310026,0000-00-00,ibm
24,street,0.5,0000-00-00,ibm
24,building,0.28905,0000-00-00,ibm
25,building,0.310026,0000-00-00,ibm
26,building,0.689974,0000-00-00,ibm
26,street,0.574443,0000-00-00,ibm
26,city,0.475021,0000-00-00,ibm
26,blue sky,0.401312,0000-00-00,ibm
26,high-rise,0.310026,0000-00-00,ibm
26,architecture,0.28905,0000-00-00,ibm
27,house,0.354344,0000-00-00,ibm
28,home,0.401312,0000-00-00,ibm
28,interior,0.268941,0000-00-00,ibm
29,beach,0.990048,0000-00-00,ibm
29,nature,0.401312,0000-00-00,ibm
29,sea,0.331812,0000-00-00,ibm
30,hotel,0.268941,0000-00-00,ibm
31,kitchen,0.689974,0000-00-00,ibm
31,home,0.331812,0000-00-00,ibm
32,kitchen,0.622459,0000-00-00,ibm
32,house,0.450166,0000-00-00,ibm
33,default,0,0000-00-00,ibm
34,house,0.354344,0000-00-00,ibm
35,furniture,0.377541,0000-00-00,ibm
36,kitchen,0.5,0000-00-00,ibm
37,default,0,0000-00-00,ibm
38,default,0,0000-00-00,ibm
39,default,0,0000-00-00,ibm
40,default,0,0000-00-00,ibm
41,kitchen,0.668188,0000-00-00,ibm
41,home,0.28905,0000-00-00,ibm
42,default,0,0000-00-00,ibm
43,default,0,0000-00-00,ibm
44,room,0.450166,0000-00-00,ibm
45,street,0.549834,0000-00-00,ibm
45,car,0.425557,0000-00-00,ibm
45,bus,0.377541,0000-00-00,ibm
46,car,0.668188,0000-00-00,ibm
46,street,0.425557,0000-00-00,ibm
46,building,0.354344,0000-00-00,ibm
47,street,0.598688,0000-00-00,ibm
47,building,0.5,0000-00-00,ibm
47,city,0.401312,0000-00-00,ibm
47,urban,0.377541,0000-00-00,ibm
47,downtown,0.28905,0000-00-00,ibm
48,street,0.450166,0000-00-00,ibm
48,car,0.450166,0000-00-00,ibm
48,building,0.425557,0000-00-00,ibm
48,city,0.331812,0000-00-00,ibm
48,bus,0.331812,0000-00-00,ibm
49,street,0.450166,0000-00-00,ibm
49,city,0.310026,0000-00-00,ibm
49,building,0.268941,0000-00-00,ibm
50,default,0,0000-00-00,ibm
209,house,0.475021,0000-00-00,ibm
209,home,0.331812,0000-00-00,ibm
231,road,0.5,0000-00-00,ibm
231,sign,0.425557,0000-00-00,ibm
231,highway,0.401312,0000-00-00,ibm
231,post office,0.354344,0000-00-00,ibm
231,shield,0.268941,0000-00-00,ibm
247,default,0,0000-00-00,ibm
1988,hotel,0.75026,0000-00-00,ibm
1988,bed,0.5,0000-00-00,ibm
1988,wallpaper,0.28905,0000-00-00,ibm
1988,image,0.28905,0000-00-00,ibm
1988,bedroom,0.268941,0000-00-00,ibm
1990,furniture,0.354344,0000-00-00,ibm
2194,kitchen,0.450166,0000-00-00,ibm
2194,real estate,0.268941,0000-00-00,ibm
2579,default,0,0000-00-00,ibm
61512,animal,0.75026,0000-00-00,ibm
61512,cow,0.5,0000-00-00,ibm
61512,horse,0.475021,0000-00-00,ibm
61512,mammal,0.377541,0000-00-00,ibm
61512,farm,0.331812,0000-00-00,ibm
61512,cattle,0.268941,0000-00-00,ibm
61513,horse,0.524979,0000-00-00,ibm
61513,crowd,0.401312,0000-00-00,ibm
61513,sport,0.310026,0000-00-00,ibm
61513,rodeo,0.28905,0000-00-00,ibm
61514,sign,0.930862,0000-00-00,ibm
61515,sport,0.802184,0000-00-00,ibm
61515,skate,0.668188,0000-00-00,ibm
61517,sea,0.731059,0000-00-00,ibm
61517,beach,0.622459,0000-00-00,ibm
61517,boat,0.377541,0000-00-00,ibm
61517,water,0.28905,0000-00-00,ibm
61518,animal,1,0000-00-00,ibm
61518,mammal,1,0000-00-00,ibm
61518,bear,0.942676,0000-00-00,ibm
61518,grizzly,0.377541,0000-00-00,ibm
61519,sport,0.960834,0000-00-00,ibm
61519,soccer,0.802184,0000-00-00,ibm
61519,ultimate,0.401312,0000-00-00,ibm
61520,default,0,0000-00-00,ibm
61521,default,0,0000-00-00,ibm
61522,default,0,0000-00-00,ibm
61523,default,0,0000-00-00,ibm
61524,sport,0.998167,0000-00-00,ibm
61524,baseball,0.845535,0000-00-00,ibm
61524,person,0.28905,0000-00-00,ibm
