img_id,label,conf_level,run_date,api
dec74c234e8cb96f,feather boa,99.99,2020,yolo_v3_imagenet
dec74c234e8cb96f,wig, 0.01,2020,yolo_v3_imagenet
dec74c234e8cb96f,mask, 0.00,2020,yolo_v3_imagenet
dec74c234e8cb96f,stole, 0.00,2020,yolo_v3_imagenet
dec74c234e8cb96f,sarong, 0.00,2020,yolo_v3_imagenet
dee0d2dee38f8ecd,candle,40.33,2020,yolo_v3_imagenet
dee0d2dee38f8ecd,altar,34.95,2020,yolo_v3_imagenet
dee0d2dee38f8ecd,fire screen,14.63,2020,yolo_v3_imagenet
dee0d2dee38f8ecd,goblet, 1.91,2020,yolo_v3_imagenet
dee0d2dee38f8ecd,restaurant, 1.33,2020,yolo_v3_imagenet
ded22dd037d3480f,spiny lobster,79.69,2020,yolo_v3_imagenet
ded22dd037d3480f,crayfish,12.07,2020,yolo_v3_imagenet
ded22dd037d3480f,knee pad, 6.45,2020,yolo_v3_imagenet
ded22dd037d3480f,sax, 0.27,2020,yolo_v3_imagenet
ded22dd037d3480f,running shoe, 0.22,2020,yolo_v3_imagenet
decf16cfd40c6aaa,wall clock,23.69,2020,yolo_v3_imagenet
decf16cfd40c6aaa,pot,15.52,2020,yolo_v3_imagenet
decf16cfd40c6aaa,head cabbage,12.04,2020,yolo_v3_imagenet
decf16cfd40c6aaa,analog clock, 6.09,2020,yolo_v3_imagenet
decf16cfd40c6aaa,tile roof, 4.75,2020,yolo_v3_imagenet
dee7a44da86491ec,tricycle,66.56,2020,yolo_v3_imagenet
dee7a44da86491ec,mountain bike, 8.60,2020,yolo_v3_imagenet
dee7a44da86491ec,jinrikisha, 6.38,2020,yolo_v3_imagenet
dee7a44da86491ec,bicycle-built-for-two, 3.85,2020,yolo_v3_imagenet
dee7a44da86491ec,moped, 1.10,2020,yolo_v3_imagenet
ded524d4015e7abf,hair spray,55.83,2020,yolo_v3_imagenet
ded524d4015e7abf,ocarina,11.13,2020,yolo_v3_imagenet
