"img_id","label","conf_level","run_date","api"
"150522","beacon","60.87","2020","yolo_v3_imagenet"
"150522","dock","19.19","2020","yolo_v3_imagenet"
"150522","breakwater","14.70","2020","yolo_v3_imagenet"
"150522","pier","0.89","2020","yolo_v3_imagenet"
"150522","boathouse","0.66","2020","yolo_v3_imagenet"
"25","jinrikisha","35.23","2020","yolo_v3_imagenet"
"25","patio","12.12","2020","yolo_v3_imagenet"
"25","restaurant","9.23","2020","yolo_v3_imagenet"
"25","unicycle","6.24","2020","yolo_v3_imagenet"
"25","bicycle-built-for-two","5.11","2020","yolo_v3_imagenet"
"61548","swab","34.49","2020","yolo_v3_imagenet"
"61548","broom","29.39","2020","yolo_v3_imagenet"
"61548","shovel","10.60","2020","yolo_v3_imagenet"
"61548","paddle","9.41","2020","yolo_v3_imagenet"
"61548","umbrella","9.26","2020","yolo_v3_imagenet"
"285799","washbasin","38.70","2020","yolo_v3_imagenet"
"285799","toilet seat","9.67","2020","yolo_v3_imagenet"
"285799","barbershop","6.28","2020","yolo_v3_imagenet"
"285799","washer","4.75","2020","yolo_v3_imagenet"
"285799","shower curtain","4.03","2020","yolo_v3_imagenet"
"150350","trifle","98.62","2020","yolo_v3_imagenet"
"150350","bakery","1.07","2020","yolo_v3_imagenet"
"150350","candle","0.19","2020","yolo_v3_imagenet"
"150350","ice cream","0.06","2020","yolo_v3_imagenet"
"150350","chocolate sauce","0.02","2020","yolo_v3_imagenet"
"150343","restaurant","76.20","2020","yolo_v3_imagenet"
"150343","dining table","21.40","2020","yolo_v3_imagenet"
"150343","groom","0.76","2020","yolo_v3_imagenet"
"150343","plate","0.54","2020","yolo_v3_imagenet"
"150343","menu","0.28","2020","yolo_v3_imagenet"
"498043","dining table","92.15","2020","yolo_v3_imagenet"
"498043","restaurant","3.22","2020","yolo_v3_imagenet"
"498043","plate","1.37","2020","yolo_v3_imagenet"
"498043","potter's wheel","0.56","2020","yolo_v3_imagenet"
"498043","wok","0.32","2020","yolo_v3_imagenet"
"285774","oxygen mask","95.66","2020","yolo_v3_imagenet"
"285774","syringe","0.94","2020","yolo_v3_imagenet"
"285774","nipple","0.79","2020","yolo_v3_imagenet"
