api,labels,top_labels,imgs_in_api,api_recall,api_recall_semantic,api_precision,api_precision_semantic,api_f1,api_f1_semantic,api_ap,api_ap_sem,img_acc,img_acc_semantic,img_acc_bl,img_acc_bl_semantic,api_wmd,api_bert_fine,api_bert,api_roberta_fine,api_roberta,api_xlnet
1000new_img_4_clarifai,3728,5,1000,0.059286309,0.135666425,0.1162,0.274,0.065886145,0.153319626,0.263513889,0.523133333,0.036521388,0.088658039,0.529048304,0.567344686,3.444688952,0.297095831,0.841624949,0.272776608,0.997968327,0.872131224
1000new_img_4_clarifai,3728,3,1000,0.041639495,0.101088182,0.130666667,0.313666667,0.053801833,0.130189979,0.2455,0.52125,0.030433379,0.076541829,0.520468681,0.550266992,3.507890185,0.253468617,0.825367706,0.219766507,0.997917558,0.873739779
1000new_img_4_clarifai,3728,1,1000,0.019894549,0.049895628,0.178,0.434,0.032959222,0.081350438,0.178,0.434,0.019894549,0.049895628,0.509836628,0.52487165,3.65832926,0.161888612,0.806863403,0.105821071,0.998210586,0.846530785
1000new_img_7_googlevision,3728,5,974,0.055827971,0.15523067,0.11408282,0.34835729,0.061544282,0.179412326,0.248837839,0.571794433,0.034096905,0.105338768,0.527384795,0.577230057,3.479526212,0.350708768,0.844461141,0.318118916,0.998093328,0.870116966
1000new_img_7_googlevision,3728,3,974,0.042980358,0.119334263,0.13329911,0.396132786,0.054721319,0.156271704,0.231433949,0.579226557,0.031118553,0.09221321,0.521156279,0.559436447,3.530545899,0.311331146,0.830364289,0.26828228,0.998059983,0.874475847
1000new_img_7_googlevision,3728,1,974,0.015965358,0.050536987,0.138603696,0.459958932,0.025255321,0.082897987,0.138603696,0.459958932,0.015965358,0.050536987,0.507866731,0.525195839,3.715360754,0.19045105,0.809705149,0.145460866,0.998175509,0.844760465
1000new_img_2_ibmwatson,3728,5,999,0.055330262,0.099857149,0.161277945,0.335685686,0.065723815,0.125189026,0.279409966,0.482104327,0.037882372,0.074618364,0.527394206,0.549719559,3.624532213,0.252810947,0.819978534,0.240220233,0.998145929,0.865711775
1000new_img_2_ibmwatson,3728,3,999,0.05056374,0.091480367,0.18018018,0.361695028,0.065750836,0.122568688,0.277110444,0.485819152,0.038369593,0.073543295,0.525070223,0.545581531,3.62719978,0.246672248,0.816385428,0.232038466,0.998127674,0.865744935
1000new_img_2_ibmwatson,3728,1,999,0.025764994,0.054745416,0.214214214,0.442442442,0.041606378,0.087510009,0.214214214,0.442442442,0.025764994,0.054745416,0.512776727,0.527297672,3.728343203,0.17797038,0.810846261,0.155835079,0.998201228,0.845126076
1000new_img_1_imagga,3728,5,1000,0.077669253,0.166862174,0.1582,0.3516,0.087947546,0.191689016,0.379691667,0.626855556,0.048807939,0.112563168,0.538269025,0.582995689,3.364779081,0.343414124,0.846973019,0.32971232,0.998117678,0.874221203
